Basic Fantasy Field Guide Omnibus to White Box conversion notes

Converted Field Guide entries added: 672.
Source: The Basic Fantasy Field Guide of Creatures Malevolent and Benign – Omnibus Edition, 1st Edition Release 4, © 2010–2025 Chris Gonnerman, R. Kevin Smoot, James Lemon, Matt Sluis, and Contributors. Textual material is Creative Commons Attribution-ShareAlike 4.0 International licensed.

General conversion rules applied:
- White Box ascending AC = BFRPG AC - 1. Where this site displays dual AC, the converted format is descending [ascending].
- Hit Dice were preserved. Each BFRPG asterisk adds one HDE step. Fractional HD plus asterisks were rounded up for HDE.
- Multiple attacks were compressed into a single White Box-style attack. Most ordinary multiattacks became a single 1d6-range attack, while especially large or high-damage attacks were retained as larger Xd6 attacks.
- Multi-column Field Guide entries and table variants were split into individual monster pages where the PDF presented distinct stat columns.
- Converted creatures are marked with a dagger (†) in indexes and tables. Their actual pages contain the Creative Commons source note.

Problems or judgment-call entries:
- Axolotl, Giant: the PDF text layer omits the title at a page break; I recovered the stat block manually from the page and noted this in parsing notes.
- Grave Dancer: BFRPG lists Hit Dice as Special because it cannot be damaged normally; I preserved Special HD and assigned White Box HDE 8 based on its Fighter 8 save, vampire-level Turning benchmark, and strong undead aura.
- Variable-HD creatures such as Ankheg, Boglin, Mushroom Men, Naga, Paper Tiger, Piercer, Remorhaz, and Roper retain variable HD/HDE/XP ranges rather than being split into every possible HD permutation.
- Creatures whose threat is mostly special effects (gaze, disease, mind swap, charm, paralysis, possession, acid corrosion, or spellcasting) received HDE adjustments from BFRPG asterisks, but their danger can vary widely by party level and preparation.
- Very large monsters and singular heavy attackers, such as Aerial Servant, Kraken-like entries if present, giant dinosaurs, and Xorn, use larger Xd6-style single attacks rather than the default 1d6-range attack.
- Several entries have source XP formulas or multiple source XP values. White Box XP was recalculated from converted HDE rather than copied directly from Basic Fantasy source XP.
- Shared category introductions, such as Advi, Bagobone, Bear, Brazen Spheres, Celestials, Deep Ones, Elemental, and Eurypterids, were prepended to their child entries when applicable.

Parser recovery notes:
- Recovered Axolotl, Giant manually because the title is omitted from the PDF text layer at the page break.

Index items not directly located in PDF text layer:
- Axolotl, Giant (printed page 17)

Converted entries:
- Aboleth: HD 8; HDE 10; XP 1,400; source p. 2.
- Bear, Ursine Behemoth: HD 15; HDE 15; XP 2,900; source p. 24.
- Beaver, Giant: HD 4; HDE 4; XP 120; source p. 25.
- Beebear: HD 7; HDE 8; XP 800; source p. 25.
- Beetle, Giant Bombardier: HD 2; HDE 3; XP 60; source p. 25.
- Beetle, Giant Boring: HD 5; HDE 5; XP 240; source p. 26.
- Beetle, Giant Fire: HD 1+2; HDE 1; XP 15; source p. 26.
- Beetle, Giant Oil: HD 2; HDE 3; XP 60; source p. 26.
- Beetle, Giant Rhinoceros: HD 12; HDE 12; XP 2,000; source p. 26.
- Beetle, Giant Stag: HD 7; HDE 7; XP 600; source p. 27.
- Beetle, Giant Tiger: HD 3+1; HDE 3; XP 60; source p. 27.
- Beetle, Giant Water: HD 4; HDE 4; XP 120; source p. 27.
- Behir: HD 13; HDE 15; XP 2,900; source p. 27.
- Bestomper: HD 11; HDE 12; XP 2,000; source p. 28.
- Bisren: HD 1+2; HDE 1; XP 15; source p. 29.
- Black Knight: HD 14; HDE 16; XP 3,200; source p. 29.
- Blade Spirit (Common): HD 9; HDE 9; XP 1,100; source p. 30.
- Blade Spirit (Greater): HD 12; HDE 12; XP 2,000; source p. 30.
- Bloodshroud: HD 4; HDE 6; XP 400; source p. 31.
- Bloodthorn: HD 4; HDE 4; XP 120; source p. 31.
- Boar, Polar: HD 5; HDE 5; XP 240; source p. 32.
- Boar, Sewer: HD 7; HDE 7; XP 600; source p. 32.
- Bodach: HD 8; HDE 8; XP 800; source p. 33.
- Bog Crone: HD 5+2; HDE 7; XP 600; source p. 33.
- Boggart: HD 6; HDE 7; XP 600; source p. 33.
- Boglin: HD 1 to 5; HDE 3; XP 60; source p. 34.
- Bone Chimera: HD 5; HDE 5; XP 240; source p. 34.
- Bone Horror (Common): HD 4; HDE 5; XP 240; source p. 35.
- Bone Horror (Greater): HD 12; HDE 13; XP 2,300; source p. 35.
- Bone Viper: HD 1; HDE 2; XP 30; source p. 35.
- Botanical: HD 3; HDE 3; XP 60; source p. 36.
- Brain Parasite: HD 1 HP; HDE 1; XP 15; source p. 36.
- Brazen Sphere Imprisoner: HD 8; HDE 8; XP 800; source p. 37.
- Brazen Sphere Major: HD 12; HDE 13; XP 2,300; source p. 37.
- Brazen Sphere Minor: HD 3; HDE 4; XP 120; source p. 38.
- Brazen Sphere Recombinant: HD 1; HDE 2; XP 30; source p. 38.
- Bronze Bird: HD 1; HDE 1; XP 15; source p. 38.
- Brownie: HD 1; HDE 3; XP 60; source p. 39.
- Bruhl: HD 1; HDE 1; XP 15; source p. 39.
- Bubák (or Living Scarecrow): HD 4; HDE 5; XP 240; source p. 40.
- Bulette: HD 9; HDE 11; XP 1,700; source p. 40.
- Bull Dragophant: HD 9; HDE 11; XP 1,700; source p. 84.
- Bunyip: HD 6; HDE 6; XP 400; source p. 41.
- Cacophony: HD 4; HDE 5; XP 240; source p. 41.
- Cactus Man: HD 5; HDE 5; XP 240; source p. 42.
- Cadaver: HD 6; HDE 8; XP 800; source p. 42.
- Canein: HD 1; HDE 1; XP 15; source p. 43.
- Cat Sith: HD 1+2; HDE 1; XP 15; source p. 43.
- Catoblepas: HD 7; HDE 9; XP 1,100; source p. 43.
- Catspider: HD ½ (1d4 hit points); HDE 2; XP 30; source p. 44.
- Celestial, Arbiter: HD 18; HDE 20; XP 4,400; source p. 45.
- Celestial, Ascended: HD 10; HDE 11; XP 1,700; source p. 45.
- Celestial, Charger: HD 8; HDE 9; XP 1,100; source p. 45.
- Celestial, Descendant: HD 4; HDE 5; XP 240; source p. 46.
- Celestial, Egregor: HD 12; HDE 14; XP 2,600; source p. 46.
- Celestial, Guardian: HD 9; HDE 10; XP 1,400; source p. 47.
- Celestial, Messenger: HD 5; HDE 7; XP 600; source p. 47.
- Celestial, Oracle: HD 11; HDE 13; XP 2,300; source p. 47.
- Celestial, Solar: HD 7; HDE 9; XP 1,100; source p. 48.
- Celestial, Warden: HD 12; HDE 14; XP 2,600; source p. 48.
- Celestial, Watcher: HD 14; HDE 16; XP 3,200; source p. 48.
- Changeling: HD 2; HDE 3; XP 60; source p. 49.
- Chasenet: HD 1; HDE 1; XP 15; source p. 49.
- Cheiropteran: HD 4; HDE 4; XP 120; source p. 49.
- Chelonian: HD 1; HDE 1; XP 15; source p. 50.
- Chimera, Lesser: HD 7 + 4; HDE 9; XP 1,100; source p. 51.
- Choker: HD 3+3; HDE 3; XP 60; source p. 51.
- Chuhl: HD 11; HDE 12; XP 2,000; source p. 52.
- Chupacabra: HD 2; HDE 2; XP 30; source p. 52.
- Cicada, Giant: HD 4; HDE 5; XP 240; source p. 53.
- Cloaker: HD 6; HDE 8; XP 800; source p. 53.
- Clockwork Armature: HD 10; HDE 11; XP 1,700; source p. 54.
- Clockwork Skeleton: HD 2+2; HDE 2; XP 30; source p. 54.
- Cockroach, Giant (Giant): HD 1; HDE 2; XP 30; source p. 55.
- Cockroach, Giant Ghoul: HD 2; HDE 4; XP 120; source p. 55.
- Common Electric: HD 1 2; HDE 2; XP 30; source p. 90.
- Corpse Abomination: HD 6 12 18; HDE 6; XP 400; source p. 56.
- Couatl: HD 9; HDE 11; XP 1,700; source p. 56.
- Cow Dragon: HD 8; HDE 10; XP 1,400; source p. 57.
- Cragodile: HD 8; HDE 8; XP 800; source p. 58.
- Crawling Claw: HD ½ (1d4 hit points); HDE <1; XP 10; source p. 58.
- Crayfish, Giant: HD 4+4; HDE 4; XP 120; source p. 58.
- Crypt Dweller: HD 2; HDE 3; XP 60; source p. 58.
- Crystalline Egret: HD 5; HDE 7; XP 600; source p. 59.
- Cu-Sidhe (Common): HD 1; HDE 1; XP 15; source p. 60.
- Cu-Sidhe (Special): HD 1 (+2d8 hp enlarged); HDE 3; XP 60; source p. 60.
- Cuhtli: HD 9; HDE 11; XP 1,700; source p. 60.
- Cunning Cloak: HD 6; HDE 6; XP 400; source p. 61.
- Curse: HD 7; HDE 8; XP 800; source p. 61.
- Cynodictis: HD 2; HDE 2; XP 30; source p. 62.
- Dancing Monitor: HD 4; HDE 5; XP 240; source p. 62.
- Dancing Shadow: HD 3; HDE 4; XP 120; source p. 62.
- Dantaeons: HD 3; HDE 3; XP 60; source p. 63.
- Darkmantle: HD 1+2; HDE 2; XP 30; source p. 64.
- Darktorch: HD 4; HDE 5; XP 240; source p. 64.
- Deadringer: HD 5; HDE 6; XP 400; source p. 65.
- Deceiver Kitten: HD 1 to 4; HDE 3; XP 60; source p. 66.
- Decempus: HD 4+4; HDE 5; XP 240; source p. 66.
- Deep One, Common: HD 3+3; HDE 3; XP 60; source p. 67.
- Deep One, Hybrid: HD 1+1; HDE 1; XP 15; source p. 68.
- Deep One, Lagoon Creature: HD 5+5; HDE 5; XP 240; source p. 68.
- Deep Spore: HD ½ (1d4 hit points); HDE 3; XP 60; source p. 69.
- Deer, Huge (Megaloceros or Irish Deer): HD 7; HDE 7; XP 600; source p. 70.
- Delver: HD 18; HDE 20; XP 4,400; source p. 70.
- Demonic Automata: HD 12; HDE 14; XP 2,600; source p. 71.
- Derej Cat: HD 1; HDE 2; XP 30; source p. 71.
- Derej Cobra: HD 1; HDE 2; XP 30; source p. 71.
- Derej Mongoose: HD 1; HDE 2; XP 30; source p. 71.
- Derej Rat: HD 1; HDE 2; XP 30; source p. 72.
- Desert Worm (Sand worm): HD 4; HDE 5; XP 240; source p. 72.
- Dinosaur, Allosaurus: HD 15; HDE 15; XP 2,900; source p. 72.
- Dinosaur, Ankylosaurus: HD 9; HDE 9; XP 1,100; source p. 73.
- Dinosaur, Apatosaurus (Brontosaurus): HD 30; HDE 30; XP 8,400; source p. 73.
- Dinosaur, Brachiosaurus: HD 36; HDE 36; XP 10,200; source p. 73.
- Dinosaur, Camarasaurus: HD 20; HDE 20; XP 4,400; source p. 73.
- Dinosaur, Centrosaurus (Monoclonius): HD 8; HDE 8; XP 800; source p. 74.
- Dinosaur, Ceratosaurus: HD 8; HDE 8; XP 800; source p. 74.
- Dinosaur, Cetiosaurus: HD 24; HDE 24; XP 5,600; source p. 74.
- Dinosaur, Compsognathus: HD ½ (1d4 hit points); HDE <1; XP 10; source p. 74.
- Dinosaur, Deinonychus: HD 3; HDE 3; XP 60; source p. 75.
- Dinosaur, Diplodocus: HD 24; HDE 24; XP 5,600; source p. 75.
- Dinosaur, Elasmosaurus: HD 15; HDE 15; XP 2,900; source p. 75.
- Dinosaur, Euoplocephalus: HD 8; HDE 8; XP 800; source p. 76.
- Dinosaur, Gorgosaurus: HD 13; HDE 13; XP 2,300; source p. 76.
- Dinosaur, Iguanadon: HD 6; HDE 6; XP 400; source p. 76.
- Dinosaur, Lambeosaurus: HD 12; HDE 12; XP 2,000; source p. 76.
- Dinosaur, Megalosaurus: HD 12; HDE 12; XP 2,000; source p. 77.
- Dinosaur, Mosasaurus: HD 12; HDE 12; XP 2,000; source p. 77.
- Dinosaur, Pentaceratops: HD 10; HDE 10; XP 1,400; source p. 77.
- Dinosaur, Plateosaurus: HD 8; HDE 8; XP 800; source p. 77.
- Dinosaur, Plesiosaurus: HD 20; HDE 20; XP 4,400; source p. 78.
- Dinosaur, Styracosaurus: HD 10; HDE 10; XP 1,400; source p. 78.
- Dinosaur, Teratosaurus: HD 10; HDE 10; XP 1,400; source p. 78.
- Dinosaur, Velociraptor: HD 1; HDE 1; XP 15; source p. 79.
- Diprotodon: HD 4; HDE 4; XP 120; source p. 79.
- Dogboy: HD 3; HDE 4; XP 120; source p. 79.
- Dolphin: HD 2; HDE 2; XP 30; source p. 80.
- Dormayvoo: HD 2; HDE 2; XP 30; source p. 80.
- Dracomander, Flame: HD 8; HDE 10; XP 1,400; source p. 81.
- Dracomander, Frost: HD 10; HDE 12; XP 2,000; source p. 81.
- Dracomander, Lightning: HD 9; HDE 11; XP 1,700; source p. 82.
- Dragon, Cave: HD 9; HDE 11; XP 1,700; source p. 82.
- Dragon, Death: HD 11; HDE 13; XP 2,300; source p. 83.
- Dragonfly, Giant: HD 4; HDE 4; XP 120; source p. 83.
- Dragonhawke: HD 2; HDE 2; XP 30; source p. 84.
- Dragonne: HD 9; HDE 10; XP 1,400; source p. 84.
- Dragophant: HD 8; HDE 10; XP 1,400; source p. 84.
- Drat: HD ½ (1d4 hit points); HDE 2; XP 30; source p. 85.
- Draugr: HD 9; HDE 11; XP 1,700; source p. 85.
- Dreadnought: HD 10; HDE 11; XP 1,700; source p. 86.
- Dreamless: HD 2; HDE 3; XP 60; source p. 86.
- Duckbear: HD 6; HDE 6; XP 400; source p. 87.
- Dufferped: HD 1; HDE 1; XP 15; source p. 87.
- Dwarrow: HD 1+1; HDE 1; XP 15; source p. 88.
- Dynamo: HD 2; HDE 3; XP 60; source p. 88.
- Eel, Common, Electric, Weed, & Giant (Giant): HD 2, 4, or 6 () 2; HDE 2 or 8; XP 30/800; source p. 90.
- Eel, Common, Electric, Weed, & Giant (Weed): HD 1 2; HDE 2; XP 30; source p. 90.
- Elchman: HD 9; HDE 9; XP 1,100; source p. 90.
- Elemental, Blood (Device): HD 12; HDE 13; XP 2,300; source p. 91.
- Elemental, Blood (Spell): HD 16; HDE 17; XP 3,500; source p. 91.
- Elemental, Blood (Staff): HD 8; HDE 9; XP 1,100; source p. 91.
- Elemental, Cold (Device): HD 12; HDE 13; XP 2,300; source p. 92.
- Elemental, Cold (Spell): HD 16; HDE 17; XP 3,500; source p. 92.
- Elemental, Cold (Staff): HD 8; HDE 9; XP 1,100; source p. 92.
- Elemental, Lightning (Device): HD 12; HDE 13; XP 2,300; source p. 92.
- Elemental, Lightning (Spell): HD 16; HDE 17; XP 3,500; source p. 92.
- Elemental, Lightning (Staff): HD 8; HDE 9; XP 1,100; source p. 92.
- Elemental, Metal (Device): HD 12; HDE 13; XP 2,300; source p. 92.
- Elemental, Metal (Spell): HD 16; HDE 17; XP 3,500; source p. 92.
- Elemental, Metal (Staff): HD 8; HDE 9; XP 1,100; source p. 92.
- Elemental, Wood (Device): HD 12; HDE 13; XP 2,300; source p. 92.
- Elemental, Wood (Spell): HD 16; HDE 17; XP 3,500; source p. 92.
- Elemental, Wood (Staff): HD 8; HDE 9; XP 1,100; source p. 92.
- Elephant, Shovel Tusk: HD 10; HDE 10; XP 1,400; source p. 93.
- Elf Bugs, Queen: HD 7; HDE 8; XP 800; source p. 93.
- Elf Bugs, Swarm: HD 3; HDE 3; XP 60; source p. 94.
- Elf, Brugh: HD 1; HDE 2; XP 30; source p. 93.
- Encephallos Titanum: HD 9; HDE 9; XP 1,100; source p. 94.
- Entelodont: HD 6; HDE 6; XP 400; source p. 95.
- Ettercap: HD 6+1; HDE 6; XP 400; source p. 95.
- Eurypterid, Buffalopterus: HD 1; HDE 1; XP 15; source p. 96.
- Eurypterid, Jaekelopterus: HD 4; HDE 4; XP 120; source p. 96.
- Eurypterid, Megalograptus: HD 1; HDE 2; XP 30; source p. 96.
- Eurypterid, Pentecopterus: HD 2; HDE 2; XP 30; source p. 97.
- Eye, Floating: HD ½ (1d4 hit points); HDE 2; XP 30; source p. 97.
- Fairy Dragon: HD 3; HDE 4; XP 120; source p. 97.
- Fairy, Forest: HD 10; HDE 11; XP 1,700; source p. 98.
- Fairy, Frost: HD 10; HDE 11; XP 1,700; source p. 98.
- Fairy, Mountain: HD 10; HDE 11; XP 1,700; source p. 99.
- Fairy, Ocean: HD 10; HDE 11; XP 1,700; source p. 99.
- Fairy, Volcano: HD 10; HDE 11; XP 1,700; source p. 99.
- Faun (and Ibix): HD 1; HDE 1; XP 15; source p. 100.
- Felisian: HD 3; HDE 3; XP 60; source p. 100.
- Fish, Crusher (Adult): HD 7 to 8; HDE 7; XP 600; source p. 101.
- Fish, Crusher (Fry): HD 1 to 2; HDE 1; XP 15; source p. 101.
- Fish, Crusher (Juvenile): HD 3 to 6; HDE 3; XP 60; source p. 101.
- Fish, Giant Gar: HD 8; HDE 8; XP 800; source p. 101.
- Fish, Giant Pike: HD 4; HDE 4; XP 120; source p. 102.
- Fish, Giant Prehistoric (Dinichthys): HD 10; HDE 10; XP 1,400; source p. 102.
- Flashbag: HD 1 hp; HDE 1; XP 15; source p. 102.
- Flederkatze: HD 2; HDE 4; XP 120; source p. 103.
- Floran: HD 1; HDE 1; XP 15; source p. 103.
- Flying Man-of-War: HD 2; HDE 2; XP 30; source p. 104.
- Fool's Idol: HD 2; HDE 3; XP 60; source p. 104.
- Frog, Giant Killer: HD 2; HDE 2; XP 30; source p. 104.
- Frog, Giant Poisonous: HD 1; HDE 2; XP 30; source p. 104.
- Frost Worm: HD 16; HDE 18; XP 3,800; source p. 105.
- Fungi, Octopus: HD 6; HDE 6; XP 400; source p. 105.
- Fungi, Violet (Huge): HD 4; HDE 5; XP 240; source p. 106.
- Fungi, Violet (Large): HD 3; HDE 4; XP 120; source p. 106.
- Fungi, Violet (Medium): HD 2; HDE 3; XP 60; source p. 106.
- Fungi, Violet (Small): HD 1; HDE 2; XP 30; source p. 106.
- Fyrenewt: HD 2+2; HDE 3; XP 60; source p. 106.
- Gas Spore: HD ½ (1d4 hit points); HDE 2; XP 30; source p. 107.
- Gaze Guard: HD 5; HDE 6; XP 400; source p. 107.
- Geminate Serpent, Blue: HD 7; HDE 9; XP 1,100; source p. 108.
- Geminate Serpent, Bone: HD 11; HDE 13; XP 2,300; source p. 108.
- Geminate Serpent, Green: HD 10; HDE 12; XP 2,000; source p. 109.
- Geminate Serpent, Pleasant: HD 10; HDE 12; XP 2,000; source p. 109.
- Geminate Serpent, Sea: HD 7; HDE 9; XP 1,100; source p. 110.
- Geminate Serpent, Shadow: HD 8; HDE 10; XP 1,400; source p. 110.
- Geminate Serpent, White: HD 8; HDE 10; XP 1,400; source p. 111.
- Gerbalaine: HD 1; HDE 1; XP 15; source p. 111.
- Ghost Shroom: HD 4 (main stalk), 2 (small stalk); HDE 4; XP 120; source p. 112.
- Giant Badger: HD 10; HDE 10; XP 1,400; source p. 17.
- Giant Flying Brain: HD 5+1; HDE 6; XP 400; source p. 114.
- Giant Mink: HD 4+4; HDE 4; XP 120; source p. 179.
- Giant, Ettin: HD 13; HDE 13; XP 2,300; source p. 114.
- Giant, Sand: HD 13; HDE 13; XP 2,300; source p. 115.
- Giant, Sea: HD 10+3; HDE 10; XP 1,400; source p. 115.
- Giant, Titan: HD 17 to 22; HDE 19; XP 4,100; source p. 115.
- Gibbering Mouther: HD 9; HDE 11; XP 1,700; source p. 116.
- Gila: HD 1-1; HDE 1; XP 15; source p. 116.
- Glyptodon: HD 4; HDE 4; XP 120; source p. 117.
- Gnoll, Regenerating: HD 2; HDE 3; XP 60; source p. 117.
- Goat, Giant: HD 3+1; HDE 3; XP 60; source p. 118.
- Goblin, Moon: HD 2; HDE 2; XP 30; source p. 118.
- Golden Oak: HD 12; HDE 14; XP 2,600; source p. 119.
- Golem, Chain: HD 20; HDE 22; XP 5,000; source p. 120.
- Golem, Crystal: HD 6; HDE 7; XP 600; source p. 121.
- Golem, Gold: HD 13; HDE 14; XP 2,600; source p. 121.
- Golem, Hay: HD 8; HDE 10; XP 1,400; source p. 121.
- Golem, Household: HD ½ (1d4 hit points); HDE <1; XP 10; source p. 122.
- Golem, Lead: HD 12; HDE 13; XP 2,300; source p. 122.
- Golem, Purifier: HD 8; HDE 10; XP 1,400; source p. 122.
- Golem, Rope: HD 4; HDE 5; XP 240; source p. 123.
- Golem, Straw: HD 3; HDE 4; XP 120; source p. 123.
- Golem, Tin: HD 7; HDE 8; XP 800; source p. 123.
- Golem, Web: HD 3; HDE 4; XP 120; source p. 124.
- Gorophont: HD 9; HDE 9; XP 1,100; source p. 124.
- Grave Caller: HD 2; HDE 3; XP 60; source p. 125.
- Grave Dancer: HD Special; HDE 8; XP 800; source p. 125.
- Grave Sentinel (Watcher, and Guardian) (Guardian): HD 14; HDE 16; XP 3,200; source p. 126.
- Grave Sentinel (Watcher, and Guardian) (Sentinel): HD 3; HDE 5; XP 240; source p. 126.
- Grave Sentinel (Watcher, and Guardian) (Watcher): HD 6; HDE 8; XP 800; source p. 126.
- Grawl: HD 2+2; HDE 3; XP 60; source p. 126.
- Great Orb of Eyes: HD 12; HDE 13; XP 2,300; source p. 127.
- Gremilkin (Temple Cat): HD 2; HDE 2; XP 30; source p. 128.
- Grick: HD 2; HDE 2; XP 30; source p. 128.
- Griffon, Hawksian: HD 8; HDE 8; XP 800; source p. 129.
- Griffon, Imperial: HD 9; HDE 9; XP 1,100; source p. 129.
- Grim: HD 6+6; HDE 8; XP 800; source p. 130.
- Grimfrog: HD 6; HDE 6; XP 400; source p. 130.
- Grimhost: HD 5; HDE 7; XP 600; source p. 131.
- Grimlock: HD 2; HDE 2; XP 30; source p. 131.
- Guard Fern: HD 6; HDE 7; XP 600; source p. 132.
- Gump: HD 4; HDE 5; XP 240; source p. 132.
- Hag: HD 6; HDE 7; XP 600; source p. 133.
- Hatchette: HD 4; HDE 4; XP 120; source p. 133.
- Headless Horseman: HD 7 (or more); HDE 9; XP 1,100; source p. 134.
- Heucova: HD 2; HDE 4; XP 120; source p. 134.
- Hippocampus: HD 2; HDE 2; XP 30; source p. 135.
- Hippopotamus: HD 6; HDE 6; XP 400; source p. 135.
- Hivelings: HD 1 (Special); HDE 2; XP 30; source p. 135.
- Hob: HD 1-1; HDE 1; XP 15; source p. 136.
- Hobgoblin, Bluenose: HD 2; HDE 2; XP 30; source p. 137.
- Homunculus: HD 2; HDE 2; XP 30; source p. 138.
- Hruul: HD 6; HDE 6; XP 400; source p. 138.
- Husk: HD 3; HDE 3; XP 60; source p. 139.
- Ichneumon: HD 12 or 15; HDE 12 or 15; XP 2,000/2,900; source p. 139.
- Illusion Trapper: HD 9; HDE 11; XP 1,700; source p. 140.
- Infected, Giant Ant: HD 5; HDE 5; XP 240; source p. 140.
- Infected, Giant Rhinoceros Beetle: HD 12; HDE 12; XP 2,000; source p. 141.
